--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sun Oct  1 23:19:18 2023

{'pid': 2591, 'username': 'ragnar20-03', 'name': 'gsd-media-keys', 'vms': 853.3046875}
{'pid': 2592, 'username': 'ragnar20-03', 'name': 'gsd-power', 'vms': 449.34375}
{'pid': 2594, 'username': 'ragnar20-03', 'name': 'gsd-print-notifications', 'vms': 252.4453125}
{'pid': 2599, 'username': 'ragnar20-03', 'name': 'gsd-rfkill', 'vms': 455.57421875}
{'pid': 2602, 'username': 'ragnar20-03', 'name': 'gsd-screensaver-proxy', 'vms': 239.19921875}
{'pid': 2605, 'username': 'ragnar20-03', 'name': 'gsd-sharing', 'vms': 463.4765625}
{'pid': 2606, 'username': 'ragnar20-03', 'name': 'gsd-smartcard', 'vms': 313.4375}
{'pid': 2609, 'username': 'ragnar20-03', 'name': 'gsd-sound', 'vms': 320.30859375}
{'pid': 2622, 'username': 'ragnar20-03', 'name': 'gsd-wacom', 'vms': 342.2265625}
{'pid': 2624, 'username': 'ragnar20-03', 'name': 'gsd-disk-utility-notify', 'vms': 226.8203125}
{'pid': 2625, 'username': 'ragnar20-03', 'name': 'gsd-xsettings', 'vms': 343.75390625}
{'pid': 2629, 'username': 'ragnar20-03', 'name': 'evolution-alarm-notify', 'vms': 738.69140625}
{'pid': 2641, 'username': 'ragnar20-03', 'name': 'ibus-dconf', 'vms': 240.203125}
{'pid': 2642, 'username': 'ragnar20-03', 'name': 'ibus-extension-gtk3', 'vms': 274.625}
{'pid': 2647, 'username': 'ragnar20-03', 'name': 'ibus-x11', 'vms': 198.0859375}
{'pid': 2650, 'username': 'ragnar20-03', 'name': 'ibus-portal', 'vms': 240.14453125}
{'pid': 2695, 'username': 'ragnar20-03', 'name': 'gsd-printer', 'vms': 342.78125}
{'pid': 2729, 'username': 'ragnar20-03', 'name': 'snap-store', 'vms': 838.15234375}
{'pid': 2797, 'username': 'ragnar20-03', 'name': 'ibus-engine-simple', 'vms': 168.09765625}
{'pid': 2952, 'username': 'root', 'name': 'fwupd', 'vms': 392.4453125}
{'pid': 2974, 'username': 'ragnar20-03', 'name': 'gjs', 'vms': 3195.48046875}
