--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sun Oct  1 23:15:14 2023
--------------------------------------------------------------------------------

{'pid': 2974, 'name': 'gjs', 'username': 'ragnar20-03', 'vms': 3195.47265625}
{'pid': 3189, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 33430.26171875}
{'pid': 3194, 'name': 'cat', 'username': 'ragnar20-03', 'vms': 16.76171875}
{'pid': 3195, 'name': 'cat', 'username': 'ragnar20-03', 'vms': 16.76171875}
{'pid': 3199, 'name': 'chrome_crashpad_handler', 'username': 'ragnar20-03', 'vms': 32790.02734375}
{'pid': 3201, 'name': 'chrome_crashpad_handler', 'username': 'ragnar20-03', 'vms': 32781.0078125}
{'pid': 3207, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 33076.16015625}
{'pid': 3208, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 33076.15234375}
{'pid': 3235, 'name': 'nacl_helper', 'username': 'ragnar20-03', 'vms': 32781.05859375}
{'pid': 3256, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 33076.1796875}
{'pid': 3361, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 33544.60546875}
{'pid': 3362, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 33143.10546875}
{'pid': 3374, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 33117.83984375}
{'pid': 3757, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 1160128.8984375}
{'pid': 4693, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 41301.5859375}
{'pid': 4709, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 1162226.17578125}
{'pid': 4714, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 1158043.33984375}
{'pid': 4735, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 1158074.19921875}
{'pid': 4750, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 33367.02734375}
{'pid': 4763, 'name': 'update-notifier', 'username': 'ragnar20-03', 'vms': 488.57421875}
{'pid': 4934, 'name': 'code', 'username': 'ragnar20-03', 'vms': 1149930.07421875}
{'pid': 4936, 'name': 'code', 'username': 'ragnar20-03', 'vms': 32978.14453125}
{'pid': 4937, 'name': 'code', 'username': 'ragnar20-03', 'vms': 32978.15625}
{'pid': 4950, 'name': 'chrome_crashpad_handler', 'username': 'ragnar20-03', 'vms': 32789.2109375}
{'pid': 4971, 'name': 'code', 'username': 'ragnar20-03', 'vms': 33026.70703125}
{'pid': 4981, 'name': 'code', 'username': 'ragnar20-03', 'vms': 1160072.4140625}
{'pid': 5018, 'name': 'code', 'username': 'ragnar20-03', 'vms': 33146.44140625}
{'pid': 5062, 'name': 'code', 'username': 'ragnar20-03', 'vms': 1149754.7734375}
{'pid': 5063, 'name': 'code', 'username': 'ragnar20-03', 'vms': 1149771.35546875}
{'pid': 5124, 'name': 'code', 'username': 'ragnar20-03', 'vms': 1149755.73828125}
{'pid': 5139, 'name': 'code', 'username': 'ragnar20-03', 'vms': 1149774.5078125}
{'pid': 5155, 'name': 'bash', 'username': 'ragnar20-03', 'vms': 11.7421875}
{'pid': 5251, 'name': 'code', 'username': 'ragnar20-03', 'vms': 1151745.92578125}
{'pid': 5309, 'name': 'code', 'username': 'ragnar20-03', 'vms': 1149689.9140625}
{'pid': 5352, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 1160104.2890625}
{'pid': 5387, 'name': 'kworker/u17:3-rtw_tx_wq', 'username': 'root', 'vms': 0.0}
{'pid': 5423, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 1158016.80078125}
{'pid': 5481, 'name': 'gnome-terminal-server', 'username': 'ragnar20-03', 'vms': 732.203125}
{'pid': 5501, 'name': 'bash', 'username': 'ragnar20-03', 'vms': 23.1796875}
{'pid': 5586, 'name': 'kworker/2:0', 'username': 'root', 'vms': 0.0}
{'pid': 5594, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 1158003.0078125}
{'pid': 5602, 'name': 'chrome', 'username': 'ragnar20-03', 'vms': 1158002.87890625}
{'pid': 5613, 'name': 'python3', 'username': 'ragnar20-03', 'vms': 40.0625}
